Kommunenr,Kommunenavn,Fylkenr,Fylkenavn,IMDiRegion,Næringsregionnr,Næringsregion_ navn,Sentralitet_nr_2008,Sentralitet_kat_2008,Validity
0604,Kongsberg,6,Buskerud,IMDi Indre Øst,22,Kongsberg/Numedal,3,Sentrale kommuner,valid
0605,Ringerike,6,Buskerud,IMDi Indre Øst,24,Ringerike/Hole,3,Sentrale kommuner,valid
0612,Hole,6,Buskerud,IMDi Indre Øst,24,Ringerike/Hole,3,Sentrale kommuner,valid
0615,Flå,6,Buskerud,IMDi Indre Øst,21,Hallingdal,0,Minst Sentrale kommuner,valid
0616,Nes (Busk.),6,Buskerud,IMDi Indre Øst,21,Hallingdal,0,Minst Sentrale kommuner,valid
0617,Gol,6,Buskerud,IMDi Indre Øst,21,Hallingdal,0,Minst Sentrale kommuner,valid
0618,Hemsedal,6,Buskerud,IMDi Indre Øst,21,Hallingdal,0,Minst Sentrale kommuner,valid
0619,Ål,6,Buskerud,IMDi Indre Øst,21,Hallingdal,0,Minst Sentrale kommuner,valid
0620,Hol,6,Buskerud,IMDi Indre Øst,21,Hallingdal,0,Minst Sentrale kommuner,valid
0621,Sigdal,6,Buskerud,IMDi Indre Øst,23,Midt-Buskerud,3,Sentrale kommuner,valid
0622,Krødsherad,6,Buskerud,IMDi Indre Øst,23,Midt-Buskerud,3,Sentrale kommuner,valid
0623,Modum,6,Buskerud,IMDi Indre Øst,23,Midt-Buskerud,3,Sentrale kommuner,valid
0624,Øvre Eiker,6,Buskerud,IMDi Indre Øst,20,Drammensregionen,3,Sentrale kommuner,valid
0625,Nedre Eiker,6,Buskerud,IMDi Indre Øst,20,Drammensregionen,3,Sentrale kommuner,valid
0626,Lier,6,Buskerud,IMDi Indre Øst,20,Drammensregionen,3,Sentrale kommuner,valid
0627,Røyken,6,Buskerud,IMDi Indre Øst,20,Drammensregionen,3,Sentrale kommuner,valid
0628,Hurum,6,Buskerud,IMDi Indre Øst,20,Drammensregionen,3,Sentrale kommuner,valid
0631,Flesberg,6,Buskerud,IMDi Indre Øst,22,Kongsberg/Numedal,3,Sentrale kommuner,valid
0632,Rollag,6,Buskerud,IMDi Indre Øst,22,Kongsberg/Numedal,2,Noe Sentrale kommuner,valid
0633,Nore og Uvdal,6,Buskerud,IMDi Indre Øst,22,Kongsberg/Numedal,0,Minst Sentrale kommuner,valid
0701,Horten,7,Vestfold,IMDi Øst,25,Tønsbergregionen,3,Sentrale kommuner,valid
0702,Holmestrand,7,Vestfold,IMDi Øst,25,Tønsbergregionen,3,Sentrale kommuner,valid
0704,Tønsberg,7,Vestfold,IMDi Øst,25,Tønsbergregionen,3,Sentrale kommuner,valid
0706,Sandefjord (gyldig til 31.12.2016),7,Vestfold,IMDi Øst,26,Sandefjord/Larvik,3,Sentrale kommuner,invalid
0709,Larvik,7,Vestfold,IMDi Øst,26,Sandefjord/Larvik,2,Noe Sentrale kommuner,valid
0710,Sandefjord (gyldig fra 1.1.2017),7,Vestfold,IMDi Øst,26,Sandefjord/Larvik,3,Sentrale kommuner,valid
0711,Svelvik,7,Vestfold,IMDi Øst,20,Drammensregionen,3,Sentrale kommuner,valid
0713,Sande (Vestf.),7,Vestfold,IMDi Øst,20,Drammensregionen,3,Sentrale kommuner,valid
0714,Hof,7,Vestfold,IMDi Øst,25,Tønsbergregionen,3,Sentrale kommuner,valid
0716,Re (f.o.m. 2002),7,Vestfold,IMDi Øst,25,Tønsbergregionen,3,Sentrale kommuner,valid
0719,Andebu,7,Vestfold,IMDi Øst,25,Tønsbergregionen,3,Sentrale kommuner,valid
0720,Stokke,7,Vestfold,IMDi Øst,25,Tønsbergregionen,3,Sentrale kommuner,valid
0722,Nøtterøy,7,Vestfold,IMDi Øst,25,Tønsbergregionen,3,Sentrale kommuner,valid
0723,Tjøme,7,Vestfold,IMDi Øst,25,Tønsbergregionen,2,Noe Sentrale kommuner,valid
0728,Lardal,7,Vestfold,IMDi Øst,26,Sandefjord/Larvik,3,Sentrale kommuner,valid
0805,Porsgrunn,8,Telemark,IMDi Sør,27,Grenland,2,Noe Sentrale kommuner,valid
0806,Skien,8,Telemark,IMDi Sør,27,Grenland,2,Noe Sentrale kommuner,valid
0807,Notodden,8,Telemark,IMDi Sør,29,Øst-Telemark,2,Noe Sentrale kommuner,valid
0811,Siljan,8,Telemark,IMDi Sør,27,Grenland,2,Noe Sentrale kommuner,valid
0814,Bamble,8,Telemark,IMDi Sør,27,Grenland,2,Noe Sentrale kommuner,valid
0815,Kragerø,8,Telemark,IMDi Sør,27,Grenland,2,Noe Sentrale kommuner,valid
0817,Drangedal,8,Telemark,IMDi Sør,27,Grenland,2,Noe Sentrale kommuner,valid
0819,Nome,8,Telemark,IMDi Sør,28,Midt-Telemark,2,Noe Sentrale kommuner,valid
0821,Bø (Telem.),8,Telemark,IMDi Sør,28,Midt-Telemark,2,Noe Sentrale kommuner,valid
0822,Sauherad,8,Telemark,IMDi Sør,28,Midt-Telemark,2,Noe Sentrale kommuner,valid
0826,Tinn,8,Telemark,IMDi Sør,29,Øst-Telemark,0,Minst Sentrale kommuner,valid
0827,Hjartdal,8,Telemark,IMDi Sør,29,Øst-Telemark,2,Noe Sentrale kommuner,valid
0828,Seljord,8,Telemark,IMDi Sør,30,Vest-Telemark,0,Minst Sentrale kommuner,valid
0829,Kviteseid,8,Telemark,IMDi Sør,30,Vest-Telemark,0,Minst Sentrale kommuner,valid
0830,Nissedal,8,Telemark,IMDi Sør,30,Vest-Telemark,0,Minst Sentrale kommuner,valid
0831,Fyresdal,8,Telemark,IMDi Sør,30,Vest-Telemark,0,Minst Sentrale kommuner,valid
0833,Tokke,8,Telemark,IMDi Sør,30,Vest-Telemark,0,Minst Sentrale kommuner,valid
0834,Vinje,8,Telemark,IMDi Sør,30,Vest-Telemark,0,Minst Sentrale kommuner,valid
0901,Risør,9,Aust-Agder,IMDi Sør,32,Arendalregionen,2,Noe Sentrale kommuner,valid
0904,Grimstad,9,Aust-Agder,IMDi Sør,32,Arendalregionen,3,Sentrale kommuner,valid
0906,Arendal,9,Aust-Agder,IMDi Sør,32,Arendalregionen,3,Sentrale kommuner,valid
0911,Gjerstad,9,Aust-Agder,IMDi Sør,32,Arendalregionen,2,Noe Sentrale kommuner,valid
0912,Vegårshei,9,Aust-Agder,IMDi Sør,32,Arendalregionen,2,Noe Sentrale kommuner,valid
0914,Tvedestrand,9,Aust-Agder,IMDi Sør,32,Arendalregionen,2,Noe Sentrale kommuner,valid
0919,Froland,9,Aust-Agder,IMDi Sør,32,Arendalregionen,3,Sentrale kommuner,valid
0926,Lillesand,9,Aust-Agder,IMDi Sør,35,Kristiansandregionen,3,Sentrale kommuner,valid
0928,Birkenes,9,Aust-Agder,IMDi Sør,35,Kristiansandregionen,3,Sentrale kommuner,valid
0929,Åmli,9,Aust-Agder,IMDi Sør,32,Arendalregionen,2,Noe Sentrale kommuner,valid
0935,Iveland,9,Aust-Agder,IMDi Sør,35,Kristiansandregionen,3,Sentrale kommuner,valid
0937,Evje og Hornnes,9,Aust-Agder,IMDi Sør,31,Setesdal,3,Sentrale kommuner,valid
0938,Bygland,9,Aust-Agder,IMDi Sør,31,Setesdal,3,Sentrale kommuner,valid
0940,Valle,9,Aust-Agder,IMDi Sør,31,Setesdal,0,Minst Sentrale kommuner,valid
0941,Bykle,9,Aust-Agder,IMDi Sør,31,Setesdal,0,Minst Sentrale kommuner,valid
1001,Kristiansand,10,Vest-Agder,IMDi Sør,35,Kristiansandregionen,3,Sentrale kommuner,valid
1002,Mandal,10,Vest-Agder,IMDi Sør,34,Mandalsregionen,3,Sentrale kommuner,valid
1003,Farsund,10,Vest-Agder,IMDi Sør,33,Lister,1,Mindre Sentrale kommuner,valid
1004,Flekkefjord,10,Vest-Agder,IMDi Sør,33,Lister,1,Mindre Sentrale kommuner,valid
1014,Vennesla,10,Vest-Agder,IMDi Sør,35,Kristiansandregionen,3,Sentrale kommuner,valid
1017,Songdalen,10,Vest-Agder,IMDi Sør,35,Kristiansandregionen,3,Sentrale kommuner,valid
1018,Søgne,10,Vest-Agder,IMDi Sør,35,Kristiansandregionen,3,Sentrale kommuner,valid
1021,Marnardal,10,Vest-Agder,IMDi Sør,34,Mandalsregionen,3,Sentrale kommuner,valid
1026,Åseral,10,Vest-Agder,IMDi Sør,34,Mandalsregionen,3,Sentrale kommuner,valid
1027,Audnedal,10,Vest-Agder,IMDi Sør,34,Mandalsregionen,3,Sentrale kommuner,valid
1029,Lindesnes,10,Vest-Agder,IMDi Sør,34,Mandalsregionen,3,Sentrale kommuner,valid
1032,Lyngdal,10,Vest-Agder,IMDi Sør,33,Lister,3,Sentrale kommuner,valid
1034,Hægebostad,10,Vest-Agder,IMDi Sør,33,Lister,3,Sentrale kommuner,valid
1037,Kvinesdal,10,Vest-Agder,IMDi Sør,33,Lister,1,Mindre Sentrale kommuner,valid
1046,Sirdal,10,Vest-Agder,IMDi Vest,33,Lister,1,Mindre Sentrale kommuner,valid
1101,Eigersund,11,Rogaland,IMDi Vest,36,Dalane,3,Sentrale kommuner,valid
1102,Sandnes,11,Rogaland,IMDi Vest,39,Stavangerregionen,3,Sentrale kommuner,valid
1103,Stavanger,11,Rogaland,IMDi Vest,39,Stavangerregionen,3,Sentrale kommuner,valid
1106,Haugesund,11,Rogaland,IMDi Vest,37,Haugesundregionen,2,Noe Sentrale kommuner,valid
1111,Sokndal,11,Rogaland,IMDi Vest,36,Dalane,3,Sentrale kommuner,valid
1112,Lund,11,Rogaland,IMDi Vest,36,Dalane,1,Mindre Sentrale kommuner,valid
1114,Bjerkreim,11,Rogaland,IMDi Vest,36,Dalane,3,Sentrale kommuner,valid
1119,Hå,11,Rogaland,IMDi Vest,39,Stavangerregionen,3,Sentrale kommuner,valid
1120,Klepp,11,Rogaland,IMDi Vest,39,Stavangerregionen,3,Sentrale kommuner,valid
1121,Time,11,Rogaland,IMDi Vest,39,Stavangerregionen,3,Sentrale kommuner,valid
